group,N,AUC,ACC,Precision,Recall,F1,TN,FP,FN,TP,series_csv,cm_csv
CT-1,938,0.7204666850854169,0.7547974413646056,0.7902813299232737,0.9035087719298246,0.8431105047748977,90,164,66,618,/home/mikame/Рабочий стол/CV_CT_scans/runs/exp_notebook/per_group/ResNetWithChAttn_CT-1_vs_CT0_series.csv,/home/mikame/Рабочий стол/CV_CT_scans/runs/exp_notebook/per_group/ResNetWithChAttn_CT-1_vs_CT0_confusion.csv
CT-2,379,0.7878425196850394,0.554089709762533,0.4225352112676056,0.96,0.58679706601467,90,164,5,120,/home/mikame/Рабочий стол/CV_CT_scans/runs/exp_notebook/per_group/ResNetWithChAttn_CT-2_vs_CT0_series.csv,/home/mikame/Рабочий стол/CV_CT_scans/runs/exp_notebook/per_group/ResNetWithChAttn_CT-2_vs_CT0_confusion.csv
CT-3,299,0.7727909011373577,0.4414715719063545,0.20388349514563106,0.9333333333333333,0.3346613545816733,90,164,3,42,/home/mikame/Рабочий стол/CV_CT_scans/runs/exp_notebook/per_group/ResNetWithChAttn_CT-3_vs_CT0_series.csv,/home/mikame/Рабочий стол/CV_CT_scans/runs/exp_notebook/per_group/ResNetWithChAttn_CT-3_vs_CT0_confusion.csv
CT-4,256,0.9153543307086615,0.359375,0.012048192771084338,1.0,0.023809523809523808,90,164,0,2,/home/mikame/Рабочий стол/CV_CT_scans/runs/exp_notebook/per_group/ResNetWithChAttn_CT-4_vs_CT0_series.csv,/home/mikame/Рабочий стол/CV_CT_scans/runs/exp_notebook/per_group/ResNetWithChAttn_CT-4_vs_CT0_confusion.csv
